$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$D;2255,00;902;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*5F
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2256,00;3078;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*EC
$D;2257,00;3078;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*F2
$D;2258,00;3078;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*3F
$D;2259,00;3078;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*E0
$D;2260,00;3078;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*92
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2261,00;902;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*37
$D;2262,00;902;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*87
$D;2263,00;902;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*C5
$D;2264,00;902;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*6B
$D;2265,00;902;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*18
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2266,00;3078;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*F7
$D;2267,00;3078;;16400;11,0;3,7;1794;;;;-3;0,1;0,1;4;-0;0;100;*7D
$D;2268,00;3078;;16400;11,0;3,7;1794;;;;-3;0,1;0,0;4;-0;0;100;*23
$D;2269,00;3078;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*AC
$D;2270,00;3077;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*E6
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2271,00;902;;16400;11,0;3,7;1795;;;;-3;0,1;0,1;4;-0;0;100;*3E
$D;2272,00;902;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*FF
$D;2273,00;902;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*D0
$D;2274,00;902;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*53
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2275,00;3077;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*3E
$D;2276,00;3077;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*B3
$D;2277,00;3077;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*7D
$D;2278,00;3077;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*20
$D;2279,00;3077;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*AF
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2280,00;902;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*F1
$D;2281,00;902;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*39
$D;2282,00;902;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*94
$D;2283,00;902;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*E2
$D;2284,00;902;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*57
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2285,00;3077;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*39
$D;2286,00;3077;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*C8
$D;2287,00;3077;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*68
$D;2288,00;3076;;16400;11,0;3,7;1795;;;;-3;0,1;0,0;4;-0;0;100;*69
$D;2289,00;3076;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*BB
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2290,00;902;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*0A
$D;2291,00;902;;16400;11,0;3,7;1796;;;;-3;0,1;0,1;4;-0;0;100;*38
$D;2292,00;902;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*91
$D;2293,00;902;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*E3
$D;2294,00;902;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*4A
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2295,00;3076;;16400;11,0;3,7;1796;;;;-3;0,1;0,1;4;-0;0;100;*CC
$D;2296,00;3077;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*D6
$D;2297,00;3077;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*55
$D;2298,00;3077;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*60
$D;2299,00;3077;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*B8
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2300,00;902;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*0A
$D;2301,00;902;;16400;11,0;3,7;1796;;;;-3;0,1;0,1;4;-0;0;100;*28
$D;2302,00;902;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*A0
$D;2303,00;902;;16400;11,0;3,7;1796;;;;-3;0,2;0,1;4;-0;0;100;*8C
$D;2304,00;902;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*37
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2305,00;3078;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*DD
$D;2306,00;3078;;16400;11,0;3,7;1796;;;;-3;0,1;0,0;4;-0;0;100;*DF
$D;2307,00;3078;;16400;11,0;3,7;1796;;;;-3;0,1;0,1;4;-0;0;100;*2F
$D;2308,00;3078;;16400;11,0;3,7;1797;;;;-3;0,1;0,0;4;-0;0;100;*0E
$D;2309,00;3078;;16400;11,0;3,7;1797;;;;-3;0,2;0,0;4;-0;0;100;*B4
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2310,00;902;;16400;11,0;3,7;1797;;;;-3;0,2;0,1;4;-0;0;100;*16
$D;2311,00;902;;16400;11,0;3,7;1797;;;;-3;0,2;0,0;4;-0;0;100;*6A
$D;2312,00;902;;16400;11,0;3,7;1797;;;;-3;0,2;0,0;3;-0;0;100;*DB
$D;2313,00;902;;16400;11,0;3,7;1797;;;;-3;0,1;0,0;4;-0;0;100;*F7
$D;2314,00;902;;16400;11,0;3,7;1797;;;;-4;0,1;0,0;3;-0;0;100;*3B
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2315,00;3078;;16400;11,0;3,7;1797;;;;-4;0,1;0,0;3;-0;0;100;*DB
$D;2316,00;3077;;16400;11,0;3,7;1797;;;;-4;0,1;0,0;3;-0;0;100;*E6
$D;2317,00;3077;;16400;11,0;3,7;1797;;;;-4;0,1;0,0;3;-0;0;100;*42
$D;2318,00;3077;;16400;11,0;3,7;1797;;;;-4;0,1;0,0;3;-0;0;100;*87
$D;2319,00;3077;;16400;11,0;3,7;1797;;;;-4;0,1;0,0;4;-0;0;100;*CE
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2320,00;902;;16400;11,0;3,7;1797;;;;-4;0,1;0,0;4;-0;0;100;*1E
$D;2321,00;902;;16400;11,0;3,7;1797;;;;-4;0,1;0,0;4;-0;0;100;*12
$D;2322,00;902;;16400;11,0;3,7;1797;;;;-3;0,1;0,2;4;-0;0;100;*B6
$D;2323,00;902;;16400;11,0;3,7;1797;;;;-3;0,1;0,0;4;-0;0;100;*7E
$D;2324,00;902;;16400;11,0;3,7;1797;;;;-3;0,1;0,0;4;-0;0;100;*2F
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2325,00;3077;;16400;11,0;3,7;1797;;;;-3;0,1;0,1;4;-0;0;100;*E6
$D;2326,00;3077;;16400;11,0;3,7;1797;;;;-3;0,1;0,1;4;-0;0;100;*97
$D;2327,00;3077;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*31
$D;2328,00;3077;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*8D
$D;2329,00;3077;;16400;11,0;3,7;1798;;;;-3;0,1;0,1;4;-0;0;100;*A9
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2330,00;902;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*2D
$D;2331,00;902;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;3;-0;0;100;*0C
$D;2332,00;902;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*B0
$D;2333,00;902;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*60
$D;2334,00;902;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*5B
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2335,00;3076;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*E6
$D;2336,00;3076;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*87
$D;2337,00;3076;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*4A
$D;2338,00;3076;;16400;11,0;3,7;1798;;;;-3;0,1;0,1;4;-0;0;100;*E3
$D;2339,00;3076;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*92
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2340,00;902;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;3;-0;0;100;*20
$D;2341,00;902;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*7E
$D;2342,00;902;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*BE
$D;2343,00;902;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*1A
$D;2344,00;902;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*12
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2345,00;3076;;16400;11,0;3,7;1798;;;;-3;0,1;0,0;4;-0;0;100;*F9
$D;2346,00;3076;;16400;11,0;3,7;1799;;;;-3;0,1;0,0;3;-0;0;100;*76
$D;2347,00;3076;;16400;11,0;3,7;1799;;;;-4;0,2;0,0;3;-0;0;100;*41
$D;2348,00;3076;;16400;11,0;3,7;1799;;;;-4;0,2;0,0;4;-0;0;100;*9C
$D;2349,00;3076;;16400;11,0;3,7;1799;;;;-4;0,2;0,0;3;-0;0;100;*9B
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2350,00;902;;16400;11,0;3,7;1799;;;;-4;0,2;0,0;3;-0;0;100;*32
$D;2351,00;902;;16400;11,0;3,7;1799;;;;-4;0,2;0,0;4;-0;0;100;*84
$D;2352,00;902;;16400;11,0;3,7;1799;;;;-4;0,2;0,0;4;-0;0;100;*DA
$D;2353,00;902;;16400;11,0;3,7;1799;;;;-4;0,2;0,0;4;-0;0;100;*22
$D;2354,00;902;;16400;11,0;3,7;1799;;;;-4;0,2;0,0;4;-0;0;100;*68
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2355,00;3075;;16400;11,0;3,7;1799;;;;-3;0,2;0,0;4;-0;0;100;*FB
$D;2356,00;3075;;16400;11,0;3,7;1799;;;;-4;0,2;0,0;4;-0;0;100;*00
$D;2357,00;3075;;16400;11,0;3,7;1799;;;;-3;0,2;0,0;4;-0;0;100;*50
$D;2358,00;3075;;16400;11,0;3,7;1799;;;;-3;0,2;0,0;4;-0;0;100;*AD
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2359,00;902;;16400;11,0;3,7;1799;;;;-3;0,2;0,0;4;-0;0;100;*F2
$D;2360,00;902;;16400;11,0;3,7;1799;;;;-3;0,2;0,0;4;-0;0;100;*35
$D;2361,00;902;;16400;11,0;3,7;1799;;;;-3;0,2;0,0;4;-0;0;100;*95
$D;2362,00;902;;16400;11,0;3,7;1799;;;;-3;0,2;0,1;4;-0;0;100;*D7
$D;2363,00;902;;16400;11,0;3,7;1799;;;;-3;0,2;0,1;4;-0;0;100;*59
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2364,00;3075;;16400;11,0;3,7;1799;;;;-3;0,2;0,0;4;-0;0;100;*30
$D;2365,00;3075;;16400;11,0;3,7;1799;;;;-3;0,2;0,0;4;-0;0;100;*CA
$D;2366,00;3075;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*0C
$D;2367,00;3075;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*0C
$D;2368,00;3075;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*DC
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2369,00;902;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*ED
$D;2370,00;902;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*5D
$D;2371,00;902;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*FF
$D;2372,00;902;;16400;11,0;3,7;1800;;;;-3;0,1;0,1;4;-0;0;100;*F6
$D;2373,00;902;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*54
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2374,00;3075;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*D4
$D;2375,00;3075;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*A4
$D;2376,00;3075;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*72
$D;2377,00;3075;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*73
$D;2378,00;3074;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*A1
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2379,00;902;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*1C
$D;2380,00;902;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;4;-0;0;100;*39
$D;2381,00;902;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;3;-0;0;100;*BA
$D;2382,00;902;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;3;-0;0;100;*F8
$D;2383,00;902;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;3;-0;0;100;*54
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2384,00;3074;;16400;11,0;3,7;1800;;;;-3;0,1;0,0;3;-0;0;100;*D9
$D;2385,00;3074;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;3;-0;0;100;*BF
$D;2386,00;3074;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*34
$D;2387,00;3074;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*66
$D;2388,00;3074;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;3;-0;0;100;*D8
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2389,00;902;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*08
$D;2390,00;902;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*49
$D;2391,00;902;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*BE
$D;2392,00;902;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*EF
$D;2393,00;902;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;3;-0;0;100;*53
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2394,00;3074;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*CA
$D;2395,00;3075;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*F3
$D;2396,00;3075;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*57
$D;2397,00;3075;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*69
$D;2398,00;3075;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*D4
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2399,00;902;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*06
$D;2400,00;902;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*71
$D;2401,00;902;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*A3
$D;2402,00;902;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*64
$D;2403,00;902;;16400;11,0;3,7;1801;;;;-3;0,1;0,0;4;-0;0;100;*5D
$D;2404,00;902;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*FD
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2405,00;3075;;16400;11,0;3,7;1802;;;;-4;0,1;0,0;4;-0;0;100;*BE
$D;2406,00;3075;;16400;11,0;3,7;1802;;;;-4;0,1;0,0;4;-0;0;100;*23
$D;2407,00;3075;;16400;11,0;3,7;1802;;;;-3;0,1;0,1;4;-0;0;100;*9D
$D;2408,00;3075;;16400;11,0;3,7;1802;;;;-3;0,1;0,2;4;-0;0;100;*B3
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2409,00;902;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*32
$D;2410,00;902;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*7A
$D;2411,00;902;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*DF
$D;2412,00;902;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*18
$D;2413,00;902;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*42
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2414,00;3075;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*F3
$D;2415,00;3075;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*9E
$D;2416,00;3075;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*24
$D;2417,00;3075;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*80
$D;2418,00;3075;;16400;11,0;3,7;1802;;;;-3;0,1;0,1;4;-0;0;100;*CA
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2419,00;902;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*36
$D;2420,00;902;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*65
$D;2421,00;902;;16400;11,0;3,7;1802;;;;-3;0,1;0,0;4;-0;0;100;*D1
$D;2422,00;902;;16400;11,0;3,7;1802;;;;-3;0,1;0,1;3;-0;0;100;*7E
$D;2423,00;902;;16400;11,0;3,7;1803;;;;-3;0,1;0,0;3;-0;0;100;*08
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2424,00;3075;;16400;11,0;3,7;1803;;;;-3;0,1;0,0;3;-0;0;100;*EA
$D;2425,00;3075;;16400;11,0;3,7;1803;;;;-3;0,1;0,0;3;-0;0;100;*EE
$D;2426,00;3075;;16400;11,0;3,7;1803;;;;-3;0,1;0,0;3;-0;0;100;*59
$D;2427,00;3075;;16400;11,0;3,7;1803;;;;-3;0,1;0,0;3;-0;0;100;*8B
$D;2428,00;3075;;16400;11,0;3,7;1803;;;;-3;0,1;0,0;3;-0;0;100;*8A
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;  mAh;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;2429,00;902;;16400;11,0;3,7;1803;;;;-3;0,1;0,0;3;-0;0;100;*27
$D;2430,00;902;;16400;11,0;3,7;1803;;;;-3;0,1;0,0;3;-0;0;100;*9D
$D;2431,00;902;;16400;11,0;3,7;1803;;;;-3;0,1;0,0;3;-0;0;100;*AC
$D;2432,00;902;;16400;11,0;3,7;1803;;;;-3;0,1;0,0;3;-0;0;100;*00
$D;2433,00;902;;16400;11,0;3,7;1803;;;;-3;0,1;0,0;3;-0;0;100;*73
$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ;   ml;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
