$SETUP1;Time;;;;;;;;;;;;;;;;;
$SETUP2;sec;;;;;;;;;;;;;;;;;
$D;396,49;5,0;;;;;;;;;;;;;;;1,2;
$D;396,58;;100,0;;;;;;;;;;;;;;1,2;
$D;396,70;;;11,9;;;;;;;;;;;;;1,1;
$D;396,79;;;11,9;;;;;;;;;;;;;1,0;
$D;396,90;;;;;0,1;;;;;;;;;;;1,0;
$D;397,01;;;;;;0,0;;;;;;;;;;0,8;
$D;397,13;;;;;;;17,0;;;;;;;;;0,7;
$D;397,17;;;;;;;;-3,0;;;;;;;;0,7;
$D;397,29;;;;;;;;;92,0;;;;;;;0,5;
$D;397,40;;;;;;;;;;0,0;;;;;;0,5;
$D;397,49;;;;;;;;;;;48,7;;;;;0,4;
$D;397,60;;;;;;;;;;;;92,6;;;;0,3;
$D;397,71;4,9;;;;;;;;;;;;;;;0,2;
$D;397,82;;100,0;;;;;;;;;;;;;;0,1;
$D;397,91;;;11,9;;;;;;;;;;;;;0,0;
$D;398,02;;;;72,6;;;;;;;;;;;;-0,1;
$D;398,13;;;;;0,2;;;;;;;;;;;-0,1;
$D;398,22;;;;;0,2;;;;;;;;;;;-0,3;
$D;398,33;;;;;;;18,0;;;;;;;;;-0,3;
$D;398,44;;;;;;;;0,0;;;;;;;;-0,6;
$D;398,55;;;;;;;;;104,0;;;;;;;-0,6;
$D;398,67;;;;;;;;;;0,0;;;;;;-0,7;
$D;398,75;;;;;;;;;;;48,8;;;;;-0,7;
$D;398,81;;;;;;;;;;;;92,6;;;;-0,8;
$D;398,92;4,9;;;;;;;;;;;;;;;-0,8;
$D;399,04;;100,0;;;;;;;;;;;;;;-0,8;
$D;399,13;;;11,9;;;;;;;;;;;;;-0,9;
$D;399,25;;;;72,6;;;;;;;;;;;;-0,9;
$D;399,36;;;;72,6;;;;;;;;;;;;-0,9;
$D;399,45;;;;;;0,0;;;;;;;;;;-0,9;
$D;399,56;;;;;;;17,0;;;;;;;;;-0,9;
$D;399,66;;;;;;;;1,0;;;;;;;;-0,8;
$D;399,78;;;;;;;;;114,0;;;;;;;-0,7;
$D;399,89;;;;;;;;;;0,0;;;;;;-0,6;
$D;399,98;;;;;;;;;;;52,6;;;;;-0,5;
$D;400,09;;;;;;;;;;;;92,6;;;;-0,5;
$D;400,20;5,0;;;;;;;;;;;;;;;-0,5;
$D;400,29;;100,0;;;;;;;;;;;;;;-0,5;
$D;400,40;;;11,9;;;;;;;;;;;;;-0,6;
$D;400,46;;;;72,6;;;;;;;;;;;;-0,6;
$D;400,58;;;;;0,2;;;;;;;;;;;-0,7;
$D;400,68;;;;;;0,0;;;;;;;;;;-0,8;
$D;400,80;;;;;;;16,0;;;;;;;;;-1,0;
$D;400,89;;;;;;;;1,0;;;;;;;;-1,1;
$D;400,99;;;;;;;;;121,0;;;;;;;-1,3;
$D;401,11;;;;;;;;;;0,0;;;;;;-1,5;
$D;401,22;;;;;;;;;;;51,2;;;;;-1,7;
$D;401,31;;;;;;;;;;;;92,6;;;;-1,9;
$D;401,42;5,0;;;;;;;;;;;;;;;-2,0;
$D;401,54;;100,0;;;;;;;;;;;;;;-2,3;
$D;401,63;;;11,9;;;;;;;;;;;;;-2,3;
$D;401,74;;;;72,6;;;;;;;;;;;;-2,4;
$D;401,85;;;;;0,3;;;;;;;;;;;-2,5;
$D;401,94;;;;;;0,0;;;;;;;;;;-2,6;
$D;402,05;;;;;;;15,0;;;;;;;;;-2,7;
$D;402,11;;;;;;;;0,0;;;;;;;;-2,8;
$D;402,22;;;;;;;;;126,0;;;;;;;-2,8;
$D;402,33;;;;;;;;;;0,0;;;;;;-2,8;
$D;402,45;;;;;;;;;;;52,6;;;;;-2,9;
$D;402,53;;;;;;;;;;;;92,6;;;;-3,0;
$D;402,64;4,9;;;;;;;;;;;;;;;-3,0;
$D;402,75;;100,0;;;;;;;;;;;;;;-2,9;
$D;402,85;;;11,9;;;;;;;;;;;;;-2,9;
$D;402,96;;;;72,6;;;;;;;;;;;;-2,9;
$D;403,08;;;;;0,2;;;;;;;;;;;-2,7;
$D;403,17;;;;;;0,0;;;;;;;;;;-2,5;
$D;403,28;;;;;;;11,0;;;;;;;;;-2,3;
$D;403,39;;;;;;;;-4,0;;;;;;;;-2,1;
$D;403,50;;;;;;;;;129,0;;;;;;;-1,8;
$D;403,59;;;;;;;;;;0,0;;;;;;-1,6;
$D;403,70;;;;;;;;;;;45,4;;;;;-1,4;
$D;403,76;;;;;;;;;;;;92,6;;;;-1,1;
$D;403,87;5,0;;;;;;;;;;;;;;;-0,7;
$D;403,99;;100,0;;;;;;;;;;;;;;-0,7;
$D;404,07;;;11,9;;;;;;;;;;;;;-0,5;
$D;404,19;;;;72,5;;;;;;;;;;;;-0,3;
$D;404,30;;;;;0,3;;;;;;;;;;;-0,2;
$D;404,39;;;;;;0,0;;;;;;;;;;0,0;
$D;404,50;;;;;;;8,0;;;;;;;;;0,0;
$D;404,61;;;;;;;;-6,0;;;;;;;;0,1;
$D;404,73;;;;;;;;;122,0;;;;;;;0,2;
$D;404,81;;;;;;;;;;0,0;;;;;;0,3;
$D;404,93;;;;;;;;;;;44,7;;;;;0,3;
$D;405,04;;;;;;;;;;;;92,6;;;;0,4;
$D;405,13;5,0;;;;;;;;;;;;;;;0,5;
$D;405,24;;100,0;;;;;;;;;;;;;;0,5;
$D;405,35;;;11,9;;;;;;;;;;;;;0,5;
$D;405,42;;;;72,5;;;;;;;;;;;;0,6;
$D;405,51;;;;;0,6;;;;;;;;;;;0,5;
$D;405,62;;;;;;0,0;;;;;;;;;;0,5;
$D;405,73;;;;;;;8,0;;;;;;;;;0,5;
$D;405,84;;;;;;;;-7,0;;;;;;;;0,4;
$D;405,94;;;;;;;;;109,0;;;;;;;0,4;
$D;406,05;;;;;;;;;;0,0;;;;;;0,2;
$D;406,14;;;;;;;;;;;39,9;;;;;0,0;
$D;406,26;;;;;;;;;;;;92,6;;;;-0,3;
$D;406,35;4,9;;;;;;;;;;;;;;;-0,3;
$D;406,46;;100,0;;;;;;;;;;;;;;-0,5;
$D;406,57;;;11,9;;;;;;;;;;;;;-0,8;
$D;406,70;;;;72,5;;;;;;;;;;;;-1,0;
$D;406,78;;;;;0,6;;;;;;;;;;;-1,1;
$D;406,89;;;;;;0,0;;;;;;;;;;-1,2;
$D;407,01;;;;;;;9,0;;;;;;;;;-1,3;
$D;407,04;;;;;;;;-8,0;;;;;;;;-1,4;
$D;407,15;;;;;;;;;97,0;;;;;;;-1,4;
$D;407,27;;;;;;;;;;0,0;;;;;;-1,4;
$D;407,38;;;;;;;;;;;38,6;;;;;-1,4;
$D;407,47;;;;;;;;;;;;92,6;;;;-1,4;
$D;407,58;4,9;;;;;;;;;;;;;;;-1,3;
$D;407,69;;100,0;;;;;;;;;;;;;;-1,2;
$D;407,81;;;11,9;;;;;;;;;;;;;-1,2;
$D;407,89;;;;72,5;;;;;;;;;;;;-1,3;
$D;408,00;;;;;0,5;;;;;;;;;;;-1,3;
$D;408,11;;;;;;0,0;;;;;;;;;;-1,4;
$D;408,23;;;;;;;7,0;;;;;;;;;-1,5;
$D;408,32;;;;;;;;-10,0;;;;;;;;-1,6;
$D;408,43;;;;;;;;;86,0;;;;;;;-1,6;
$D;408,54;;;;;;;;;;0,0;;;;;;-1,8;
$D;408,65;;;;;;;;;;;30,3;;;;;-1,8;
$D;408,72;;;;;;;;;;;;92,6;;;;-1,9;
$D;408,80;4,9;;;;;;;;;;;;;;;-1,9;
$D;408,92;;100,0;;;;;;;;;;;;;;-1,9;
$D;409,01;;;11,9;;;;;;;;;;;;;-1,9;
$D;409,12;;;;72,5;;;;;;;;;;;;-1,8;
$D;409,23;;;;;0,8;;;;;;;;;;;-1,8;
$D;409,33;;;;;;0,0;;;;;;;;;;-1,8;
$D;409,44;;;;;;;5,0;;;;;;;;;-1,7;
$D;409,55;;;;;;;;-10,0;;;;;;;;-1,7;
$D;409,67;;;;;;;;;75,0;;;;;;;-1,5;
$D;409,75;;;;;;;;;;0,0;;;;;;-1,3;
$D;409,86;;;;;;;;;;;22,8;;;;;-1,3;
$D;409,96;;;;;;;;;;;;92,6;;;;-1,2;
$D;410,08;4,9;;;;;;;;;;;;;;;-1,0;
$D;410,18;;100,0;;;;;;;;;;;;;;-0,9;
$D;410,30;;;11,9;;;;;;;;;;;;;-0,8;
$D;410,34;;;;72,5;;;;;;;;;;;;-0,7;
$D;410,45;;;;;0,6;;;;;;;;;;;-0,7;
$D;410,57;;;;;;0,0;;;;;;;;;;-0,7;
$D;410,68;;;;;;;3,0;;;;;;;;;-0,5;
$D;410,77;;;;;;;;-12,0;;;;;;;;-0,5;
$D;410,88;;;;;;;;;67,0;;;;;;;-0,5;
$D;410,99;;;;;;;;;;0,0;;;;;;-0,5;
$D;411,10;;;;;;;;;;;22,1;;;;;-0,5;
$D;411,19;;;;;;;;;;;;92,6;;;;-0,5;
$D;411,30;4,9;;;;;;;;;;;;;;;-0,5;
$D;411,41;;100,0;;;;;;;;;;;;;;-0,5;
$D;411,50;;;11,9;;;;;;;;;;;;;-0,5;
$D;411,61;;;;72,5;;;;;;;;;;;;-0,5;
$D;411,73;;;;;0,7;;;;;;;;;;;-0,6;
$D;411,82;;;;;;0,0;;;;;;;;;;-0,6;
$D;411,93;;;;;;;2,0;;;;;;;;;-0,6;
$D;411,99;;;;;;;;-11,0;;;;;;;;-0,8;
$D;412,11;;;;;;;;;58,0;;;;;;;-0,8;
$D;412,22;;;;;;;;;;0,0;;;;;;-0,8;
$D;412,31;;;;;;;;;;;17,2;;;;;-0,9;
$D;412,42;;;;;;;;;;;;92,6;;;;-0,9;
$D;412,53;4,9;;;;;;;;;;;;;;;-1,0;
$D;412,62;;100,0;;;;;;;;;;;;;;-1,1;
$D;412,73;;;11,9;;;;;;;;;;;;;-1,1;
$D;412,84;;;;72,5;;;;;;;;;;;;-1,1;
$D;412,95;;;;;0,5;;;;;;;;;;;-1,2;
$D;413,07;;;;;;0,0;;;;;;;;;;-1,3;
$D;413,15;;;;;;;1,0;;;;;;;;;-1,4;
$D;413,26;;;;;;;;-8,0;;;;;;;;-1,5;
$D;413,38;;;;;;;;;53,0;;;;;;;-1,5;
$D;413,46;;;;;;;;;;0,0;;;;;;-1,6;
$D;413,57;;;;;;;;;;;12,6;;;;;-1,8;
$D;413,64;;;;;;;;;;;;92,6;;;;-1,8;
$D;413,75;5,0;;;;;;;;;;;;;;;-1,8;
$D;413,86;;100,0;;;;;;;;;;;;;;-1,8;
$D;413,98;;;11,9;;;;;;;;;;;;;-1,8;
$D;414,06;;;;72,5;;;;;;;;;;;;-1,7;
$D;414,17;;;;;0,5;;;;;;;;;;;-1,7;
$D;414,27;;;;;;0,0;;;;;;;;;;-1,6;
$D;414,38;;;;;;;0,0;;;;;;;;;-1,5;
$D;414,50;;;;;;;;-8,0;;;;;;;;-1,4;
$D;414,59;;;;;;;;;51,0;;;;;;;-1,4;
$D;414,70;;;;;;;;;;0,0;;;;;;-1,1;
$D;414,80;;;;;;;;;;;11,9;;;;;-0,9;
$D;414,92;;;;;;;;;;;;92,6;;;;-0,9;
$D;415,01;5,0;;;;;;;;;;;;;;;-0,8;
$D;415,12;;100,0;;;;;;;;;;;;;;-0,7;
$D;415,22;;;11,9;;;;;;;;;;;;;-0,6;
$D;415,28;;;;72,5;;;;;;;;;;;;-0,6;
$D;415,39;;;;;0,2;;;;;;;;;;;-0,5;
$D;415,50;;;;;;0,0;;;;;;;;;;-0,5;
$D;415,61;;;;;;;-1,0;;;;;;;;;-0,4;
$D;415,73;;;;;;;;-10,0;;;;;;;;-0,4;
$D;415,81;;;;;;;;;48,0;;;;;;;-0,3;
$D;415,92;;;;;;;;;;0,0;;;;;;-0,2;
$D;416,03;;;;;;;;;;;12,6;;;;;-0,2;
$D;416,15;;;;;;;;;;;;92,6;;;;-0,1;
$D;416,24;5,0;;;;;;;;;;;;;;;-0,1;
$D;416,34;;100,0;;;;;;;;;;;;;;0,0;
$D;416,45;;;11,9;;;;;;;;;;;;;0,0;
$D;416,56;;;;72,4;;;;;;;;;;;;0,0;
$D;416,68;;;;;0,1;;;;;;;;;;;0,0;
$D;416,77;;;;;;0,0;;;;;;;;;;0,0;
$D;416,89;;;;;;;-2,0;;;;;;;;;0,0;
$D;416,94;;;;;;;;-11,0;;;;;;;;-0,1;
$D;417,06;;;;;;;;;46,0;;;;;;;-0,1;
$D;417,14;;;;;;;;;;0,0;;;;;;-0,1;
$D;417,27;;;;;;;;;;;9,3;;;;;-0,1;
$D;417,35;;;;;;;;;;;;92,6;;;;-0,1;
$D;417,46;5,0;;;;;;;;;;;;;;;-0,1;
$D;417,57;;100,0;;;;;;;;;;;;;;-0,1;
$D;417,69;;;11,9;;;;;;;;;;;;;-0,1;
$D;417,77;;;;72,4;;;;;;;;;;;;-0,1;
$D;417,88;;;;;0,1;;;;;;;;;;;-0,1;
$D;417,99;;;;;;0,0;;;;;;;;;;-0,1;
$D;418,11;;;;;;;-2,0;;;;;;;;;0,0;
$D;418,21;;;;;;;;-9,0;;;;;;;;0,0;
$D;418,31;;;;;;;;;45,0;;;;;;;0,0;
$D;418,42;;;;;;;;;;0,0;;;;;;0,0;
$D;418,53;;;;;;;;;;;6,9;;;;;0,0;
$D;418,60;;;;;;;;;;;;92,6;;;;0,0;
$D;418,69;5,0;;;;;;;;;;;;;;;0,0;
$D;418,80;;100,0;;;;;;;;;;;;;;0,0;
$D;418,91;;;11,9;;;;;;;;;;;;;0,0;
$D;419,00;;;;72,4;;;;;;;;;;;;0,0;
$D;419,11;;;;;0,1;;;;;;;;;;;0,1;
$D;419,22;;;;;;0,0;;;;;;;;;;0,0;
$D;419,34;;;;;;;-2,0;;;;;;;;;0,0;
$D;419,42;;;;;;;;-6,0;;;;;;;;0,0;
$D;419,53;;;;;;;;;46,0;;;;;;;0,0;
$D;419,64;;;;;;;;;;0,0;;;;;;0,0;
$D;419,73;;;;;;;;;;;2,4;;;;;0,0;
$D;419,85;;;;;;;;;;;;92,6;;;;0,0;
$D;419,97;5,0;;;;;;;;;;;;;;;0,0;
$D;420,06;;100,0;;;;;;;;;;;;;;0,0;
$D;420,17;;;11,9;;;;;;;;;;;;;0,1;
$D;420,23;;;;72,4;;;;;;;;;;;;0,1;
$D;420,34;;;;;0,1;;;;;;;;;;;0,1;
$D;420,46;;;;;;0,0;;;;;;;;;;0,0;
$D;420,54;;;;;;;-2,0;;;;;;;;;0,0;
$D;420,65;;;;;;;;-5,0;;;;;;;;0,0;
$D;420,78;;;;;;;;;46,0;;;;;;;0,0;
$D;420,87;;;;;;;;;;0,0;;;;;;0,0;
$D;420,99;;;;;;;;;;;0,9;;;;;0,0;
$D;421,07;;;;;;;;;;;;92,6;;;;0,0;
$D;421,18;5,0;;;;;;;;;;;;;;;0,0;
$D;421,29;;100,0;;;;;;;;;;;;;;0,0;
$D;421,39;;100,0;;;;;;;;;;;;;;0,0;
$D;421,50;;;;72,4;;;;;;;;;;;;0,0;
$D;421,61;;;;;0,1;;;;;;;;;;;0,0;
$D;421,72;;;;;;0,0;;;;;;;;;;0,0;
$D;421,81;;;;;;;-2,0;;;;;;;;;0,0;
$D;421,88;;;;;;;;-3,0;;;;;;;;0,0;
$D;421,98;;;;;;;;;47,0;;;;;;;0,0;
$D;422,08;;;;;;;;;;0,0;;;;;;0,0;
$D;422,19;;;;;;;;;;;0,3;;;;;0,0;
$D;422,30;;;;;;;;;;;;92,6;;;;0,0;
$D;422,40;5,0;;;;;;;;;;;;;;;0,0;
$D;422,51;;100,0;;;;;;;;;;;;;;0,0;
$D;422,62;;;11,9;;;;;;;;;;;;;0,0;
$D;422,74;;;;72,4;;;;;;;;;;;;0,0;
$D;422,82;;;;;0,1;;;;;;;;;;;0,0;
$D;422,94;;;;;;0,0;;;;;;;;;;0,0;
$D;423,05;;;;;;;-2,0;;;;;;;;;0,0;
$D;423,15;;;;;;;;0,0;;;;;;;;0,0;
$D;423,25;;;;;;;;;47,0;;;;;;;0,0;
$D;423,35;;;;;;;;;;0,0;;;;;;0,0;
$D;423,46;;;;;;;;;;;0,5;;;;;0,0;
$D;423,52;;;;;;;;;;;;92,6;;;;0,0;
$D;423,63;5,0;;;;;;;;;;;;;;;0,0;
$D;423,74;;100,0;;;;;;;;;;;;;;0,0;
$D;423,85;;;11,9;;;;;;;;;;;;;0,0;
$D;423,94;;;;72,4;;;;;;;;;;;;0,0;
$D;424,06;;;;;0,1;;;;;;;;;;;0,0;
$D;424,18;;;;;;0,0;;;;;;;;;;0,1;
$D;424,26;;;;;;;-2,0;;;;;;;;;0,1;
$D;424,37;;;;;;;;0,0;;;;;;;;0,0;
$D;424,46;;;;;;;;;47,0;;;;;;;0,0;
$D;424,58;;;;;;;;;;0,0;;;;;;0,0;
$D;424,70;;;;;;;;;;;0,3;;;;;0,0;
$D;424,80;;;;;;;;;;;;92,6;;;;0,0;
$D;424,91;5,0;;;;;;;;;;;;;;;0,0;
$D;425,00;;100,0;;;;;;;;;;;;;;0,0;
$D;425,11;;;11,9;;;;;;;;;;;;;0,0;
$D;425,17;;;;72,4;;;;;;;;;;;;0,0;
$D;425,28;;;;;0,1;;;;;;;;;;;0,0;
$D;425,40;;;;;;0,0;;;;;;;;;;-0,1;
$D;425,48;;;;;;;-2,0;;;;;;;;;-0,1;
$D;425,59;;;;;;;;0,0;;;;;;;;-0,1;
$D;425,70;;;;;;;;;47,0;;;;;;;-0,1;
$D;425,81;;;;;;;;;;0,0;;;;;;-0,1;
$D;425,91;;;;;;;;;;;0,3;;;;;-0,1;
$D;426,01;;;;;;;;;;;;92,6;;;;-0,1;
$D;426,12;5,0;;;;;;;;;;;;;;;-0,1;
$D;426,23;;100,0;;;;;;;;;;;;;;-0,1;
$D;426,34;;;11,9;;;;;;;;;;;;;-0,1;
$D;426,45;;;;72,4;;;;;;;;;;;;0,0;
$D;426,54;;;;;0,1;;;;;;;;;;;0,0;
$D;426,65;;;;;;0,0;;;;;;;;;;0,0;
$D;426,76;;;;;;;-2,0;;;;;;;;;0,0;
$D;426,82;;;;;;;;0,0;;;;;;;;0,0;
$D;426,94;;;;;;;;;47,0;;;;;;;0,0;
$D;427,02;;;;;;;;;;0,0;;;;;;0,0;
$D;427,13;;;;;;;;;;;0,8;;;;;0,0;
$D;427,24;;;;;;;;;;;;92,6;;;;0,0;
$D;427,36;5,0;;;;;;;;;;;;;;;0,0;
$D;427,44;;100,0;;;;;;;;;;;;;;0,0;
$D;427,56;;;11,9;;;;;;;;;;;;;0,0;
$D;427,67;;;;72,4;;;;;;;;;;;;0,0;
$D;427,78;;;;;0,1;;;;;;;;;;;0,0;
$D;427,87;;;;;;0,0;;;;;;;;;;0,0;
$D;427,98;;;;;;;-2,0;;;;;;;;;0,0;
$D;428,09;;;;;;;;0,0;;;;;;;;0,0;
$D;428,21;;;;;;;;;47,0;;;;;;;0,1;
$D;428,29;;;;;;;;;;0,0;;;;;;0,1;
$D;428,41;;;;;;;;;;;0,6;;;;;0,1;
$D;428,47;;;;;;;;;;;;92,6;;;;0,1;
$D;428,58;5,0;;;;;;;;;;;;;;;0,1;
$D;428,69;;100,0;;;;;;;;;;;;;;0,1;
$D;428,78;;;12,0;;;;;;;;;;;;;0,0;
$D;428,89;;;;72,4;;;;;;;;;;;;0,0;
$D;429,00;;;;;0,1;;;;;;;;;;;0,0;
$D;429,09;;;;;;0,0;;;;;;;;;;0,0;
$D;429,20;;;;;;;-2,0;;;;;;;;;0,0;
$D;429,31;;;;;;;;0,0;;;;;;;;0,0;
$D;429,43;;;;;;;;;47,0;;;;;;;0,1;
$D;429,51;;;;;;;;;;0,0;;;;;;0,1;
$D;429,62;;;;;;;;;;;0,6;;;;;0,1;
$D;429,75;;;;;;;;;;;;92,6;;;;0,1;
$D;429,83;5,0;;;;;;;;;;;;;;;0,1;
$D;429,94;;100,0;;;;;;;;;;;;;;0,1;
$D;430,05;;;12,0;;;;;;;;;;;;;0,1;
$D;430,12;;;;72,4;;;;;;;;;;;;0,2;
$D;430,23;;;;;0,1;;;;;;;;;;;0,2;
$D;430,32;;;;;;0,0;;;;;;;;;;0,2;
$D;430,43;;;;;;;-1,0;;;;;;;;;0,2;
$D;430,55;;;;;;;;0,0;;;;;;;;0,1;
$D;430,64;;;;;;;;;47,0;;;;;;;0,1;
$D;430,76;;;;;;;;;;0,0;;;;;;0,1;
$D;430,84;;;;;;;;;;;0,4;;;;;0,1;
$D;430,95;;;;;;;;;;;;92,6;;;;0,1;
$D;431,05;5,0;;;;;;;;;;;;;;;0,0;
$D;431,16;;100,0;;;;;;;;;;;;;;0,0;
$D;431,27;;;12,0;;;;;;;;;;;;;0,0;
$D;431,38;;;;72,4;;;;;;;;;;;;0,0;
$D;431,50;;;;;0,1;;;;;;;;;;;0,0;
$D;431,58;;;;;;0,0;;;;;;;;;;0,0;
$D;431,69;;;;;;;-1,0;;;;;;;;;0,0;
$D;431,75;;;;;;;;0,0;;;;;;;;0,0;
$D;431,87;;;;;;;;;47,0;;;;;;;0,0;
$D;431,96;;;;;;;;;;0,0;;;;;;0,0;
$D;432,07;;;;;;;;;;;0,6;;;;;0,0;
$D;432,20;;;;;;;;;;;;92,6;;;;0,0;
$D;432,28;5,0;;;;;;;;;;;;;;;0,0;
$D;432,39;;100,0;;;;;;;;;;;;;;0,0;
$D;432,50;;;12,0;;;;;;;;;;;;;0,0;
$D;432,59;;;;72,4;;;;;;;;;;;;0,0;
$D;432,70;;;;;0,1;;;;;;;;;;;0,0;
$D;432,81;;;;;;0,0;;;;;;;;;;0,0;
$D;432,92;;;;;;;-1,0;;;;;;;;;0,0;
$D;433,02;;;;;;;;0,0;;;;;;;;0,0;
$D;433,14;;;;;;;;;48,0;;;;;;;0,0;
$D;433,24;;;;;;;;;;0,0;;;;;;0,0;
$D;433,33;;;;;;;;;;;0,5;;;;;0,0;
$D;433,42;;;;;;;;;;;;92,6;;;;0,0;
$D;433,51;5,0;;;;;;;;;;;;;;;0,0;
$D;433,62;;100,0;;;;;;;;;;;;;;0,0;
$D;433,71;;;12,0;;;;;;;;;;;;;0,0;
$D;433,82;;;;72,4;;;;;;;;;;;;0,0;
$D;433,93;;;;;0,1;;;;;;;;;;;0,0;
$D;434,05;;;;;;0,0;;;;;;;;;;0,0;
$D;434,14;;;;;;;-1,0;;;;;;;;;0,0;
$D;434,24;;;;;;;;0,0;;;;;;;;0,0;
$D;434,36;;;;;;;;;47,0;;;;;;;0,0;
$D;434,46;;;;;;;;;;0,0;;;;;;0,0;
$D;434,58;;;;;;;;;;;0,6;;;;;0,0;
$D;434,67;;;;;;;;;;;;92,6;;;;0,0;
$D;434,78;5,0;;;;;;;;;;;;;;;0,0;
$D;434,87;;100,0;;;;;;;;;;;;;;0,0;
$D;434,98;;;12,0;;;;;;;;;;;;;0,0;
$D;435,04;;;;72,4;;;;;;;;;;;;0,0;
$D;435,15;;;;;0,1;;;;;;;;;;;0,0;
$D;435,27;;;;;;0,0;;;;;;;;;;0,0;
$D;435,38;;;;;;;-1,0;;;;;;;;;0,0;
$D;435,47;;;;;;;;0,0;;;;;;;;0,0;
$D;435,58;;;;;;;;;47,0;;;;;;;0,0;
$D;435,69;;;;;;;;;;0,0;;;;;;0,0;
$D;435,82;;;;;;;;;;;0,4;;;;;-0,1;
$D;435,89;;;;;;;;;;;;92,6;;;;-0,1;
$D;436,00;5,0;;;;;;;;;;;;;;;0,0;
$D;436,11;;100,0;;;;;;;;;;;;;;0,0;
$D;436,21;;;12,0;;;;;;;;;;;;;-0,1;
$D;436,31;;;;72,3;;;;;;;;;;;;-0,1;
$D;436,42;;;;;0,1;;;;;;;;;;;-0,1;
$D;436,53;;;;;;0,0;;;;;;;;;;-0,1;
$D;436,65;;;;;;;-1,0;;;;;;;;;-0,1;
$D;436,71;;;;;;;;0,0;;;;;;;;-0,1;
$D;436,80;;;;;;;;;47,0;;;;;;;-0,1;
$D;436,91;;;;;;;;;;0,0;;;;;;-0,1;
$D;437,04;;;;;;;;;;;0,5;;;;;-0,1;
$D;437,11;;;;;;;;;;;;92,6;;;;-0,1;
$D;437,22;5,0;;;;;;;;;;;;;;;-0,1;
$D;437,33;;100,0;;;;;;;;;;;;;;-0,1;
$D;437,44;;;12,0;;;;;;;;;;;;;-0,1;
$D;437,56;;;;72,3;;;;;;;;;;;;-0,1;
$D;437,64;;;;;0,1;;;;;;;;;;;-0,1;
$D;437,75;;;;;;0,0;;;;;;;;;;-0,1;
$D;437,87;;;;;;;-1,0;;;;;;;;;0,0;
$D;437,96;;;;;;;;0,0;;;;;;;;0,0;
$D;438,07;;;;;;;;;47,0;;;;;;;0,0;
$D;438,17;;;;;;;;;;0,0;;;;;;0,0;
$D;438,29;;;;;;;;;;;0,5;;;;;0,0;
$D;438,33;;;;;;;;;;;;92,6;;;;0,0;
$D;438,45;5,0;;;;;;;;;;;;;;;0,0;
$D;438,56;;100,0;;;;;;;;;;;;;;0,0;
$D;438,67;;;12,0;;;;;;;;;;;;;0,0;
$D;438,76;;;;72,3;;;;;;;;;;;;0,0;
$D;438,87;;;;;0,1;;;;;;;;;;;0,0;
$D;438,98;;;;;;0,0;;;;;;;;;;0,0;
$D;439,10;;;;;;;-1,0;;;;;;;;;0,0;
$D;439,18;;;;;;;;0,0;;;;;;;;0,0;
$D;439,29;;;;;;;;;48,0;;;;;;;0,0;
$D;439,40;;;;;;;;;;0,0;;;;;;0,0;
$D;439,53;;;;;;;;;;;0,5;;;;;0,0;
$D;439,61;;;;;;;;;;;;92,6;;;;0,0;
$D;439,72;5,0;;;;;;;;;;;;;;;0,0;
$D;439,83;;100,0;;;;;;;;;;;;;;0,0;
$D;439,92;;;12,0;;;;;;;;;;;;;0,0;
$D;439,99;;;;72,3;;;;;;;;;;;;0,0;
$D;440,11;;;;;0,1;;;;;;;;;;;0,0;
$D;440,19;;;;;;0,0;;;;;;;;;;0,0;
$D;440,31;;;;;;;-1,0;;;;;;;;;0,0;
$D;440,43;;;;;;;;0,0;;;;;;;;0,0;
$D;440,51;;;;;;;;;48,0;;;;;;;0,0;
$D;440,62;;;;;;;;;;0,0;;;;;;0,0;
$D;440,73;;;;;;;;;;;0,5;;;;;0,0;
$D;440,85;;;;;;;;;;;;92,6;;;;0,0;
$D;440,93;5,0;;;;;;;;;;;;;;;0,0;
$D;441,04;;100,0;;;;;;;;;;;;;;0,0;
$D;441,15;;;12,0;;;;;;;;;;;;;0,0;
$D;441,28;;;;72,3;;;;;;;;;;;;0,0;
$D;441,36;;;;;0,1;;;;;;;;;;;0,0;
$D;441,48;;;;;;0,0;;;;;;;;;;0,0;
$D;441,57;;;;;;;-1,0;;;;;;;;;0,0;
$D;441,63;;;;;;;;0,0;;;;;;;;-0,1;
$D;441,74;;;;;;;;;48,0;;;;;;;-0,1;
$D;441,85;;;;;;;;;;0,0;;;;;;-0,1;
$D;441,96;;;;;;;;;;;0,5;;;;;-0,1;
$D;442,08;;;;;;;;;;;;92,6;;;;-0,1;
$D;442,16;5,0;;;;;;;;;;;;;;;-0,1;
$D;442,27;;100,0;;;;;;;;;;;;;;-0,1;
$D;442,38;;;12,0;;;;;;;;;;;;;-0,1;
$D;442,50;;;;72,3;;;;;;;;;;;;-0,1;
$D;442,58;;;;;0,1;;;;;;;;;;;-0,1;
$D;442,69;;;;;;0,0;;;;;;;;;;-0,1;
$D;442,81;;;;;;;-1,0;;;;;;;;;0,0;
$D;442,92;;;;;;;;0,0;;;;;;;;0,0;
$D;443,01;;;;;;;;;48,0;;;;;;;0,0;
$D;443,12;;;;;;;;;;0,0;;;;;;0,0;
$D;443,24;;;;;;;;;;;1,3;;;;;0,0;
$D;443,27;;;;;;;;;;;;92,6;;;;0,0;
