$SETUP1;Time;;;;;;;;;;;;;;;;;
$SETUP2;sec;;;;;;;;;;;;;;;;;
$D;19,79;5,0;;;;;;;;;;;;;;;0,1;
$D;19,91;;100,0;;;;;;;;;;;;;;0,1;
$D;20,01;;;12,4;;;;;;;;;;;;;0,1;
$D;20,08;;;;98,0;;;;;;;;;;;;0,0;
$D;20,22;;;;;0,1;;;;;;;;;;;0,0;
$D;20,28;;;;;;0,0;;;;;;;;;;0,0;
$D;20,39;;;;;;;-1,0;;;;;;;;;0,0;
$D;20,51;;;;;;;;0,0;;;;;;;;0,0;
$D;20,60;;;;;;;;;2,0;;;;;;;0,0;
$D;20,73;;;;;;;;;;0,0;;;;;;0,0;
$D;20,84;;;;;;;;;;;0,2;;;;;0,0;
$D;20,94;;;;;;;;;;;;1,4;;;;0,0;
$D;21,03;5,0;;;;;;;;;;;;;;;0,0;
$D;21,15;;100,0;;;;;;;;;;;;;;0,0;
$D;21,24;;;12,4;;;;;;;;;;;;;0,0;
$D;21,35;;;;99,0;;;;;;;;;;;;0,0;
$D;21,46;;;;;0,1;;;;;;;;;;;0,0;
$D;21,57;;;;;;0,0;;;;;;;;;;0,0;
$D;21,65;;;;;;;0,0;;;;;;;;;0,0;
$D;21,74;;;;;;;;0,0;;;;;;;;0,0;
$D;21,83;;;;;;;;;2,0;;;;;;;0,0;
$D;21,95;;;;;;;;;;0,0;;;;;;0,0;
$D;22,03;;;;;;;;;;;0,2;;;;;0,0;
$D;22,15;;;;;;;;;;;;1,4;;;;0,0;
$D;22,25;5,0;;;;;;;;;;;;;;;0,0;
$D;22,35;;100,0;;;;;;;;;;;;;;0,0;
$D;22,47;;;12,4;;;;;;;;;;;;;0,0;
$D;22,58;;;;99,0;;;;;;;;;;;;0,0;
$D;22,67;;;;;0,1;;;;;;;;;;;0,0;
$D;22,82;;;;;;0,0;;;;;;;;;;0,0;
$D;23,13;;;;;;;-1,0;;;;;;;;;0,0;
$D;23,19;;;;;;;;0,0;;;;;;;;0,0;
$D;23,26;;;;;;;;;2,0;;;;;;;0,0;
$D;23,31;;;;;;;;;;0,0;;;;;;0,0;
$D;23,37;;;;;;;;;;;0,2;;;;;0,0;
$D;23,49;;;;;;;;;;;;1,4;;;;0,0;
$D;23,50;5,0;;;;;;;;;;;;;;;0,0;
$D;23,58;;100,0;;;;;;;;;;;;;;0,0;
$D;23,70;;;12,4;;;;;;;;;;;;;0,0;
$D;23,81;;;;99,0;;;;;;;;;;;;0,0;
$D;23,91;;;;;0,1;;;;;;;;;;;0,0;
$D;24,02;;;;;;0,0;;;;;;;;;;0,0;
$D;24,10;;;;;;;0,0;;;;;;;;;0,0;
$D;24,21;;;;;;;;0,0;;;;;;;;0,0;
$D;24,33;;;;;;;;;2,0;;;;;;;0,0;
