Std:Min:Sek;MSB A00;    ; ;MSB A01;    ; ;MSB A02;    ; ;MSB A03;    ; ;MSB A04;    ; ;MSB A05;    ; ;MSB A06;    ; ;MSB A07;    ; ;MSB A08;    ; ;MSB A09;    ; ;MSB A10;    ; ;MSB A11;    ; ;MSB A12;    ; ;MSB A13;    ; ;MSB A14;    ; ;MSB A15;    ; ;
000:00:32,5; 0005,4;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:33,0; 0005,4;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:33,5; 0005,4;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:34,0; 0005,4;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:34,5; 0005,4;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:35,0; 0005,4;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:35,5; 0005,4;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:36,0; 0005,4;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:36,5; 0005,4;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,2;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
000:00:37,0; 0005,4;V   ;-; 000100;%LQI;-; 0012,5;V   ;-; 0000,0;A   ;-; 000000;mAh ;-; 000000;m   ;-; 000000;m   ;-; 0000,0;m/s ;-; 0025,4;°C  ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-; 000000;    ;-;
