;;;;;;;;;;;;;;;;;0;0;0;1;1;3;3;3;6;7;8;8;8;8;8;8;16;16;16;19;19;21;22;23;24;25;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;VARIO F1712;VARIO F1712;CURRENT F1678;CURRENT F1678;CURRENT F1678;TEMPERATURE SENSOR;TEMPERATURE F1713 ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;CURRENT F1678;CURRENT F1678;CURRENT F1678;VARIO F1712;VARIO F1712;RPM SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;ALTITUDE;VARIOMETER;CURRENT;VOLTAGE;CAPACITY;TEMPERATURE;TEMPERATURE;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;CURRENT;VOLTAGE;CAPACITY;ALTITUDE;VARIOMETER;ROTATION;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;
21930;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  78;   7;16382;  0;-6382;   0,0;N 46:36.9556;E 13:56.4996;   0,0; 25,0;     0;    0;   0,0;     0; 178;  -1;  33;  39;
22972;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  78;   7;16382;  0;-6382;   0,0;N 46:36.9556;E 13:56.4996;   0,0; 25,0;     0;    0;   0,0;     0; 178;  -1;  33;  37;
24015;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  78;   7;16382;  0;    1;   0,0;N 46:36.9556;E 13:56.4996;   0,0; 25,0;     0;    0;   0,0;     0; 178;  -1;  33;  37;
25059;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  78;   7;    3;  0;    1;   0,0;N 46:36.9556;E 13:56.4996;   0,0; 25,0;     0;    0;   0,0;     0;   1;  -1;  33;  36;
26103;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  67;   7;    3;  0;-6382;   0,0;N 46:36.9560;E 13:56.4996;   0,0; 25,0;     0;    0;   0,0;     0; 178;  -1;  33;  36;
27145;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  66;   7;16382;  0;-6382;   0,0;N 46:36.9560;E 13:56.4995;   0,0; 25,0;     0;    0;   0,0;     0; 178;  -1;  33;  36;
28188;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  66;   7;16382;  0;-6382;   0,0;N 46:36.9560;E 13:56.4995;   0,0; 25,0;     0;    0;   0,0;     0; 178;  -1;  33;  36;
29229;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  66;   7;16382;  0;-6382;   0,0;N 46:36.9560;E 13:56.4995;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  36;
30270;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  65;   7;16382;  0;-6382;   0,0;N 46:36.9560;E 13:56.4994;   0,0; 25,0;     0;    1;   0,0;     0;   1;  -1;  33;  36;
31312;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  65;   7;16382;  0;-6382;   0,0;N 46:36.9564;E 13:56.4993;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  35;
32354;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  50;   7;16382;  1;-6382;   0,0;N 46:36.9564;E 13:56.4993;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  37;
33398;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  49;   7;16382;  0;-6382;   0,0;N 46:36.9564;E 13:56.4991;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  36;
34441;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  49;   7;16382;  0;-6382;   0,0;N 46:36.9564;E 13:56.4991;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  35;
35482;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  47;   7;16382;  0;-6382;   0,0;N 46:36.9564;E 13:56.4990;   0,0; 25,0;     0;    1;   0,0;     0;   1;  -1;  33;  39;
36525;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  47;   7;16382;  0;-6382;   0,0;N 46:36.9564;E 13:56.4989;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  40;
37566;2,7;10,1;-135,0;17,9;-6,1;17,0;129,8;-7,3;-34,8;73,5;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;    1;   0,0;   0,0; 25,0;     2;  46;   7;16382;  0;-6382;   0,0;N 46:36.9564;E 13:56.4988;   0,0; 25,0;     0;    1;   0,0;     0; 178;  -1;  33;  38;
