# Funtana
000000000;4310520667;0;MUI-75;
000000000;4310520667;1;Voltage;V
000000000;4310520667;2;Current;A
000000000;4310520667;3;Capacity;mAh
000000000;4310520667;4;Run time;s
000203181;4310520667;1;1;1;345
000203186;4310520667;2;1;1;708
000203186;4310520667;3;4;0;174
000203186;4310520667;4;5;0;14
000203416;4310520667;1;1;1;344
000203416;4310520667;2;1;1;712
000203416;4310520667;3;4;0;178
000203416;4310520667;4;5;0;14
000203716;4310520667;1;1;1;344
000203716;4310520667;2;1;1;710
000203716;4310520667;3;4;0;185
000203716;4310520667;4;5;0;14
000203936;4310520667;1;1;1;344
000203936;4310520667;2;1;1;710
000203936;4310520667;3;4;0;189
000203936;4310520667;4;5;0;15
000204133;4310520667;1;1;1;344
000204133;4310520667;2;1;1;709
000204136;4310520667;3;4;0;193
000204136;4310520667;4;5;0;15
000204383;4310520667;1;1;1;352
000204383;4310520667;2;1;1;571
000204383;4310520667;3;4;0;197
000204383;4310520667;4;5;0;15
000204556;4310520667;1;1;1;380
000204556;4310520667;2;1;1;157
000204556;4310520667;3;4;0;198
000204556;4310520667;4;5;0;15
000204776;4310520667;1;1;1;384
000204776;4310520667;2;1;1;141
000204776;4310520667;3;4;0;199
000204776;4310520667;4;5;0;16
000204996;4310520667;1;1;1;384
000204996;4310520667;2;1;1;148
000205000;4310520667;3;4;0;200
000205001;4310520667;4;5;0;16
000205215;4310520667;1;1;1;380
000205215;4310520667;2;1;1;200
000205215;4310520667;3;4;0;201
000205215;4310520667;4;5;0;16
000205416;4310520667;1;1;1;380
000205416;4310520667;2;1;1;196
000205416;4310520667;3;4;0;203
000205416;4310520667;4;5;0;16
000205637;4310520667;1;1;1;388
000205637;4310520667;2;1;1;107
000205637;4310520667;3;4;0;203
000205637;4310520667;4;5;0;16
000205836;4310520667;1;1;1;396
000205836;4310520667;2;1;1;37
000205836;4310520667;3;4;0;204
000205839;4310520667;4;5;0;17
000206056;4310520667;1;1;1;400
000206056;4310520667;2;1;1;0
000206056;4310520667;3;4;0;204
000206056;4310520667;4;5;0;17
000206256;4310520667;1;1;1;402
000206256;4310520667;2;1;1;0
000206256;4310520667;3;4;0;204
000206256;4310520667;4;5;0;17
000206476;4310520667;1;1;1;403
000206476;4310520667;2;1;1;0
000206476;4310520667;3;4;0;204
000206476;4310520667;4;5;0;17
000206716;4310520667;1;1;1;403
000206716;4310520667;2;1;1;0
000206716;4310520667;3;4;0;204
000206716;4310520667;4;5;0;17
000206916;4310520667;1;1;1;403
000206916;4310520667;2;1;1;0
000206916;4310520667;3;4;0;204
000206916;4310520667;4;5;0;17
000207136;4310520667;1;1;1;403
000207136;4310520667;2;1;1;0
000207136;4310520667;3;4;0;204
000207136;4310520667;4;5;0;17
000207336;4310520667;1;1;1;403
000207336;4310520667;2;1;1;0
000207336;4310520667;3;4;0;204
000207336;4310520667;4;5;0;17
000207556;4310520667;1;1;1;404
000207556;4310520667;2;1;1;0
000207556;4310520667;3;4;0;204
000207556;4310520667;4;5;0;17
000207756;4310520667;1;1;1;404
000207760;4310520667;2;1;1;0
000207760;4310520667;3;4;0;204
000207760;4310520667;4;5;0;17
000207956;4310520667;1;1;1;404
000207956;4310520667;2;1;1;0
000207956;4310520667;3;4;0;204
000207956;4310520667;4;5;0;17
000208176;4310520667;1;1;1;405
000208176;4310520667;2;1;1;0
000208176;4310520667;3;4;0;204
000208176;4310520667;4;5;0;17
000208376;4310520667;1;1;1;406
000208376;4310520667;2;1;1;0
000208376;4310520667;3;4;0;204
000208376;4310520667;4;5;0;17
000208597;4310520667;1;1;1;406
000208597;4310520667;2;1;1;0
000208601;4310520667;3;4;0;204
000208602;4310520667;4;5;0;17
000208796;4310520667;1;1;1;406
000208796;4310520667;2;1;1;0
000208796;4310520667;3;4;0;204
000208796;4310520667;4;5;0;17
000209016;4310520667;1;1;1;407
000209016;4310520667;2;1;1;0
000209016;4310520667;3;4;0;204
000209016;4310520667;4;5;0;17
000209216;4310520667;1;1;1;407
000209216;4310520667;2;1;1;0
000209216;4310520667;3;4;0;204
000209216;4310520667;4;5;0;17
000209436;4310520667;1;1;1;408
000209436;4310520667;2;1;1;0
000209436;4310520667;3;4;0;204
000209439;4310520667;4;5;0;17
000209653;4310520667;1;1;1;409
000209653;4310520667;2;1;1;0
000209653;4310520667;3;4;0;204
000209653;4310520667;4;5;0;17
000209836;4310520667;1;1;1;409
000209836;4310520667;2;1;1;0
000209836;4310520667;3;4;0;204
000209836;4310520667;4;5;0;17
000210056;4310520667;1;1;1;409
000210056;4310520667;2;1;1;0
000210056;4310520667;3;4;0;204
000210056;4310520667;4;5;0;17
000210493;4310520667;1;1;1;410
000210493;4310520667;2;1;1;0
000210493;4310520667;3;4;0;204
000210493;4310520667;4;5;0;17
000210696;4310520667;1;1;1;411
000210696;4310520667;2;1;1;0
000210696;4310520667;3;4;0;204
000210696;4310520667;4;5;0;17
000210896;4310520667;1;1;1;411
000210896;4310520667;2;1;1;0
000210896;4310520667;3;4;0;204
000210896;4310520667;4;5;0;17
000211116;4310520667;1;1;1;411
000211116;4310520667;2;1;1;0
000211116;4310520667;3;4;0;204
000211116;4310520667;4;5;0;17
000211333;4310520667;1;1;1;411
000211333;4310520667;2;1;1;0
000211333;4310520667;3;4;0;204
000211333;4310520667;4;5;0;17
000211536;4310520667;1;1;1;411
000211539;4310520667;2;1;1;0
000211539;4310520667;3;4;0;204
000211539;4310520667;4;5;0;17
000211737;4310520667;1;1;1;410
000211737;4310520667;2;1;1;0
000211737;4310520667;3;4;0;204
000211737;4310520667;4;5;0;17
000211943;4310520667;1;1;1;408
000211943;4310520667;2;1;1;0
000211943;4310520667;3;4;0;204
000211943;4310520667;4;5;0;17
000212173;4310520667;1;1;1;405
000212173;4310520667;2;1;1;26
000212173;4310520667;3;4;0;204
000212173;4310520667;4;5;0;17
000212376;4310520667;1;1;1;401
000212376;4310520667;2;1;1;71
000212381;4310520667;3;4;0;204
000212381;4310520667;4;5;0;17
000212576;4310520667;1;1;1;395
000212576;4310520667;2;1;1;143
000212576;4310520667;3;4;0;205
000212576;4310520667;4;5;0;17
000212783;4310520667;1;1;1;394
000212783;4310520667;2;1;1;132
000212783;4310520667;3;4;0;206
000212783;4310520667;4;5;0;17
000213013;4310520667;1;1;1;395
000213013;4310520667;2;1;1;131
