# Ariane V10 1
000000000;4264123810;0;Rx;
000000000;4264123810;1;U Rx;V
000000000;4202000001;0;LinkVario;
000000000;4202000001;1;Hoehe;m
000000000;4202000001;2;Vario;m/s
000000000;4202000001;3;IntegVario;m/s
000000000;4202000001;4;Motorspann;V
000000000;4202000001;5;Motorstrom;A
000000000;4202000001;6;Kapazitaet;Ah
000000000;4202000001;7;Temperatur;°C
000000000;4202000001;8;PitotSpeed;m/s
000000000;4202000001;9;UB Vario;V
000000000;4202000001;10;Longitude;°
000000000;4202000001;11;Latitude;°
000000000;4202000001;12;GPS-Hoehe;m
000000000;4202000001;13;GPS-Kurs;°
000000000;4202000001;14;GPS-Speed;m/s
000000000;4202000001;15;Entfernung;m
000000000;4202000001;16;Modell-Pos;°
001060058;4202000001;2;1;2;1070
001060058;4202000001;10;9;1;616536
001060058;4202000001;11;9;0;3123114
001060058;4202000001;14;1;0;17
001060196;4202000001;2;1;2;1070
001060196;4202000001;12;1;0;542
001060196;4202000001;13;1;0;40
001060196;4202000001;15;1;0;94
001060196;4202000001;16;1;0;37
001060336;4202000001;1;1;1;1368
001060336;4202000001;2;1;2;1071
001060338;4202000001;3;1;2;1650
001060338;4202000001;4;1;1;129
001060338;4202000001;5;1;1;584
001060456;4202000001;2;1;2;1071
001060456;4202000001;6;1;2;13
001060456;4202000001;7;1;1;159
001060456;4202000001;8;1;0;7
001060456;4202000001;9;1;2;500
001060536;4264123810;1;1;2;492
001060776;4202000001;2;1;2;1071
001060776;4202000001;10;9;1;616545
001060776;4202000001;11;9;0;3123121
001060776;4202000001;14;1;0;15
001060936;4202000001;2;1;2;1071
001060936;4202000001;12;1;0;572
001060936;4202000001;13;1;0;40
001060938;4202000001;15;1;0;111
001060938;4202000001;16;1;0;38
001061056;4264123810;1;1;2;492
001061056;4202000001;1;1;1;1571
001061056;4202000001;2;1;2;1071
001061056;4202000001;3;1;2;1978
001061056;4202000001;4;1;1;128
001061056;4202000001;5;1;1;552
001061176;4202000001;2;1;2;1071
001061176;4202000001;6;1;2;14
001061176;4202000001;7;1;1;154
001061176;4202000001;8;1;0;7
001061176;4202000001;9;1;2;501
001061316;4202000001;2;1;2;1071
001061316;4202000001;10;9;1;616545
001061316;4202000001;11;9;0;3123121
001061318;4202000001;14;1;0;15
001061436;4202000001;2;1;2;1071
001061436;4202000001;12;1;0;572
001061436;4202000001;13;1;0;40
001061436;4202000001;15;1;0;111
001061436;4202000001;16;1;0;38
001061576;4264123810;1;1;2;492
001061676;4202000001;1;1;1;1756
001061676;4202000001;2;1;2;1071
001061676;4202000001;3;1;2;1978
001061676;4202000001;4;1;1;128
001061676;4202000001;5;1;1;608
001061796;4202000001;2;1;2;1071
001061796;4202000001;6;1;2;14
001061796;4202000001;7;1;1;159
001061796;4202000001;8;1;0;7
001061798;4202000001;9;1;2;501
001061936;4202000001;2;1;2;1071
001061936;4202000001;10;9;1;616552
001061936;4202000001;11;9;0;3123127
001061936;4202000001;14;1;0;12
001062132;4202000001;2;1;2;1071
001062132;4202000001;12;1;0;603
001062132;4202000001;13;1;0;35
001062133;4202000001;15;1;0;125
001062134;4202000001;16;1;0;38
001062134;4264123810;1;1;2;492
001062227;4202000001;1;1;1;1756
001062227;4202000001;2;1;2;1071
001062227;4202000001;3;1;2;1898
001062227;4202000001;4;1;1;146
001062227;4202000001;5;1;1;0
001062334;4202000001;2;1;2;1071
001062334;4202000001;6;1;2;16
001062334;4202000001;7;1;1;159
001062335;4202000001;8;1;0;6
001062335;4202000001;9;1;2;503
001062477;4202000001;2;1;2;1071
001062477;4202000001;10;9;1;616552
001062477;4202000001;11;9;0;3123127
001062478;4202000001;14;1;0;12
001062616;4264123810;1;1;2;492
001062776;4202000001;1;1;1;2000
001062776;4202000001;2;1;2;1071
001062776;4202000001;3;1;2;1898
001062776;4202000001;4;1;1;152
001062776;4202000001;5;1;1;0
001062936;4202000001;2;1;2;1071
001062936;4202000001;6;1;2;16
001062938;4202000001;7;1;1;155
001062938;4202000001;8;1;0;7
001062938;4202000001;9;1;2;503
001063136;4264123810;1;1;2;492
001063176;4202000001;2;1;2;1071
001063176;4202000001;10;9;1;616557
001063176;4202000001;11;9;0;3123131
001063176;4202000001;14;1;0;7
001063316;4202000001;2;1;2;1071
001063316;4202000001;12;1;0;635
001063316;4202000001;13;1;0;30
001063316;4202000001;15;1;0;135
001063316;4202000001;16;1;0;38
001063437;4202000001;1;1;1;2181
001063437;4202000001;2;1;2;1071
001063437;4202000001;3;1;2;1898
001063440;4202000001;4;1;1;153
001063440;4202000001;5;1;1;0
001063656;4264123810;1;1;2;492
001063656;4202000001;2;1;2;1071
001063656;4202000001;6;1;2;16
001063656;4202000001;7;1;1;156
001063656;4202000001;8;1;0;6
001063656;4202000001;9;1;2;503
001063776;4202000001;2;1;2;1071
001063776;4202000001;10;9;1;616560
001063776;4202000001;11;9;0;3123136
001063776;4202000001;14;1;0;9
001064056;4202000001;1;1;1;2329
001064056;4202000001;2;1;2;1071
001064056;4202000001;3;1;2;1898
001064056;4202000001;4;1;1;154
001064058;4202000001;5;1;1;0
001064176;4264123810;1;1;2;492
001064176;4202000001;2;1;2;1071
001064176;4202000001;6;1;2;16
001064176;4202000001;7;1;1;158
001064176;4202000001;8;1;0;7
001064176;4202000001;9;1;2;503
001064317;4202000001;2;1;2;1071
001064317;4202000001;10;9;1;616560
001064317;4202000001;11;9;0;3123136
001064318;4202000001;14;1;0;9
001064456;4202000001;2;1;2;1071
001064456;4202000001;12;1;0;661
001064456;4202000001;13;1;0;21
001064456;4202000001;15;1;0;144
001064456;4202000001;16;1;0;37
001064636;4202000001;1;1;1;2401
001064636;4202000001;2;1;2;1071
001064636;4202000001;3;1;2;1898
001064636;4202000001;4;1;1;155
001064636;4202000001;5;1;1;0
001064696;4264123810;1;1;2;492
001064777;4202000001;2;1;2;1071
001064777;4202000001;6;1;2;16
001064777;4202000001;7;1;1;160
001064778;4202000001;8;1;0;7
001064778;4202000001;9;1;2;503
001064957;4202000001;2;1;2;1071
001064957;4202000001;10;9;1;616563
001064957;4202000001;11;9;0;3123142
001064958;4202000001;14;1;0;13
001065056;4202000001;2;1;2;1071
001065058;4202000001;12;1;0;681
001065058;4202000001;13;1;0;20
001065058;4202000001;15;1;0;156
001065059;4202000001;16;1;0;36
001065176;4202000001;1;1;1;2440
001065176;4202000001;2;1;2;1071
001065176;4202000001;3;1;2;1898
001065176;4202000001;4;1;1;156
