;;;;;;;;;;;;;;;;;0;0;0;1;1;1;4;4;7;8;8;8;8;8;8;16;17;18;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;CURRENT F1678;CURRENT F1678;CURRENT F1678;VARIO F1712;VARIO F1712;TEMPERATURE SENSOR;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;CURRENT;VOLTAGE;CAPACITY;ALTITUDE;VARIOMETER;TEMPERATURE;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;TEMPERATURE;TEMPERATURE;TEMPERATURE;
31043;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;    9;  2;    0;  -0,1;N 46:46.3666;E 13:49.8940;  -1;   0;   0;
32076;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;   10;  2;    0;   0,0;N 46:46.3670;E 13:49.8936;  -1;   0;   0;
33107;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    1;   0,0;   1;   11;  2;    0;  -0,2;N 46:46.3674;E 13:49.8933;  -1;   0;   0;
34138;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;   11;  0;    0;   0,0;N 46:46.3675;E 13:49.8934;  -1;   0;   0;
35169;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;   10;  0;    0;   0,0;N 46:46.3674;E 13:49.8935;  -1;   0;   0;
36199;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;   10;  0;    0;   0,0;N 46:46.3674;E 13:49.8935;  -1;   0;   0;
37229;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;   10;  0;    0;  +0,2;N 46:46.3674;E 13:49.8935;  -1;   0;   0;
38259;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    1;   0,0;   1;   10;  0;    0;  -0,1;N 46:46.3674;E 13:49.8935;  -1;   0;   0;
39290;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    1;   0,0; 334;   10;  0;    0;   0,0;N 46:46.3674;E 13:49.8935;  -1;   0;   0;
40322;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    2;   0,0; 334;   10;  1;    0;   0,0;N 46:46.3674;E 13:49.8938;  -1;   0;   0;
