Date,Time,GSpd(kmh),RSSI(dB),RxBt(V),GPS,GAlt(m),Date,Dist(m),Rud,Ele,Thr,Ail,S1,S2,S3,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-08-18,12:53:32.120,-0.1,99,5.4,42.736578 11.995711,3.1,2019-08-18 10:53:23,4,-2,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:34.120,0.0,98,5.4,42.736578 11.995711,3.3,2019-08-18 10:53:33,4,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:36.120,0.0,90,5.4,42.736578 11.995711,3.4,2019-08-18 10:53:33,4,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:38.120,0.3,96,5.4,42.736580 11.995710,3.5,2019-08-18 10:53:33,4,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:40.120,0.0,103,5.4,42.736578 11.995710,3.7,2019-08-18 10:53:33,4,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:42.120,0.2,101,5.4,42.736578 11.995710,3.5,2019-08-18 10:53:42,4,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:44.120,0.4,101,5.4,42.736571 11.995708,3.5,2019-08-18 10:53:42,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:46.120,0.4,94,5.4,42.736568 11.995706,3.3,2019-08-18 10:53:42,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:48.120,0.0,97,5.4,42.736568 11.995705,3.5,2019-08-18 10:53:42,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:50.120,0.6,100,5.4,42.736568 11.995705,3.4,2019-08-18 10:53:42,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:52.120,0.3,95,5.4,42.736566 11.995701,3.5,2019-08-18 10:53:52,3,-2,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:54.120,-0.1,95,5.4,42.736568 11.995701,3.4,2019-08-18 10:53:52,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:56.120,0.1,101,5.4,42.736568 11.995701,3.3,2019-08-18 10:53:52,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:58.120,0.0,97,5.4,42.736568 11.995701,3.4,2019-08-18 10:53:52,3,-2,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:00.120,-0.1,99,5.4,42.736566 11.995701,3.3,2019-08-18 10:53:52,3,-2,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:02.120,0.0,97,5.4,42.736566 11.995700,3.4,2019-08-18 10:54:02,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:04.120,-0.1,102,5.4,42.736568 11.995698,3.5,2019-08-18 10:54:02,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:54:06.120,0.0,102,5.4,42.736568 11.995696,3.7,2019-08-18 10:54:02,3,-2,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
