AkkuMasterC4
Zeit [sec];Spannung [V];Strom [A];Ladung [mAh]
3070.00; 6.735;0.500;426.000
3080.00; 6.735;0.500;428.000
3090.00; 6.725;0.500;429.000
3100.00; 6.720;0.500;430.000
3110.00; 6.735;0.500;432.000
3120.00; 6.735;0.500;433.000
3130.00; 6.745;0.500;434.000
3140.00; 6.750;0.500;436.000
3150.00; 6.740;0.500;437.000
3160.00; 6.740;0.500;438.000
3170.00; 6.745;0.500;440.000
3180.00; 6.740;0.500;441.000
3190.00; 6.740;0.500;442.000
3200.00; 6.740;0.500;444.000
3210.00; 6.740;0.500;445.000
3220.00; 6.735;0.500;446.000
3230.00; 6.740;0.500;448.000
3240.00; 6.735;0.500;450.000
3250.00; 6.750;0.500;451.000
3260.00; 6.735;0.500;453.000
3270.00; 6.745;0.500;454.000
3280.00; 6.750;0.500;455.000
3290.00; 6.740;0.500;457.000
3300.00; 6.760;0.500;458.000
3310.00; 6.745;0.500;459.000
3320.00; 6.755;0.500;461.000
3330.00; 6.750;0.500;462.000
3340.00; 6.735;0.500;463.000
3350.00; 6.745;0.500;465.000
3360.00; 6.750;0.500;466.000
3370.00; 6.745;0.500;467.000
3380.00; 6.755;0.500;469.000
3390.00; 6.755;0.500;470.000
3400.00; 6.755;0.500;471.000
3410.00; 6.750;0.500;473.000
3420.00; 6.760;0.500;475.000
3430.00; 6.765;0.500;476.000
3440.00; 6.770;0.500;478.000
3450.00; 6.765;0.500;479.000
3460.00; 6.760;0.500;480.000
3470.00; 6.765;0.500;482.000
3480.00; 6.755;0.500;483.000
3490.00; 6.770;0.500;484.000
3500.00; 6.765;0.500;486.000
3510.00; 6.765;0.500;487.000
3520.00; 6.755;0.500;488.000
3530.00; 6.770;0.500;490.000
3540.00; 6.760;0.500;491.000
3550.00; 6.750;0.500;492.000
3560.00; 6.770;0.500;494.000
3570.00; 6.770;0.500;495.000
3580.00; 6.765;0.500;496.000
3590.00; 6.770;0.500;498.000
3600.00; 6.770;0.500;500.000
3610.00; 6.770;0.500;501.000
3620.00; 6.780;0.500;503.000
3630.00; 6.780;0.500;504.000
3640.00; 6.770;0.500;505.000
3650.00; 6.765;0.500;507.000
3660.00; 6.780;0.500;508.000
3670.00; 6.780;0.500;509.000
3680.00; 6.780;0.500;511.000
3690.00; 6.760;0.500;512.000
3700.00; 6.775;0.500;513.000
3710.00; 6.785;0.500;515.000
3720.00; 6.780;0.500;516.000
3730.00; 6.770;0.500;517.000
3740.00; 6.775;0.500;519.000
3750.00; 6.780;0.500;520.000
3760.00; 6.785;0.500;521.000
3770.00; 6.780;0.500;523.000
3780.00; 6.785;0.500;525.000
3790.00; 6.795;0.500;526.000
3800.00; 6.775;0.500;528.000
3810.00; 6.755;0.500;529.000
3820.00; 6.775;0.500;530.000
3830.00; 6.785;0.500;532.000
3840.00; 6.780;0.500;533.000
3850.00; 6.785;0.500;534.000
3860.00; 6.785;0.500;536.000
3870.00; 6.790;0.500;537.000
3880.00; 6.785;0.500;538.000
3890.00; 6.800;0.500;540.000
3900.00; 6.780;0.500;541.000
3910.00; 6.780;0.500;542.000
3920.00; 6.795;0.500;544.000
3930.00; 6.785;0.500;545.000
3940.00; 6.800;0.500;546.000
3950.00; 6.795;0.500;548.000
3960.00; 6.790;0.500;550.000
3970.00; 6.795;0.500;551.000
3980.00; 6.795;0.500;553.000
3990.00; 6.810;0.500;554.000
4000.00; 6.800;0.500;555.000
4010.00; 6.795;0.500;557.000
4020.00; 6.795;0.500;558.000
4030.00; 6.785;0.500;559.000
4040.00; 6.800;0.500;561.000
4050.00; 6.795;0.500;562.000
4060.00; 6.785;0.500;563.000
4070.00; 6.810;0.500;565.000
4080.00; 6.800;0.500;566.000
4090.00; 6.790;0.500;567.000
4100.00; 6.795;0.500;569.000
4110.00; 6.815;0.500;570.000
4120.00; 6.795;0.500;571.000
4130.00; 6.780;0.500;573.000
4140.00; 6.785;0.500;575.000
4150.00; 6.795;0.500;576.000
4160.00; 6.780;0.500;578.000
4170.00; 6.790;0.500;579.000
4180.00; 6.815;0.500;580.000
4190.00; 6.805;0.500;582.000
4200.00; 6.810;0.500;583.000
4210.00; 6.810;0.500;584.000
4220.00; 6.795;0.500;586.000
4230.00; 6.795;0.500;587.000
4240.00; 6.800;0.500;588.000
4250.00; 6.815;0.500;590.000
4260.00; 6.795;0.500;591.000
4270.00; 6.815;0.500;592.000
4280.00; 6.810;0.500;594.000
4290.00; 6.810;0.500;595.000
4300.00; 6.810;0.500;596.000
4310.00; 6.825;0.500;598.000
4320.00; 6.810;0.500;600.000
4330.00; 6.830;0.500;601.000
4340.00; 6.815;0.500;603.000
4350.00; 6.800;0.500;604.000
4360.00; 6.810;0.500;605.000
4370.00; 6.815;0.500;607.000
4380.00; 6.815;0.500;608.000
4390.00; 6.825;0.500;609.000
4400.00; 6.820;0.500;611.000
4410.00; 6.815;0.500;612.000
4420.00; 6.810;0.500;613.000
4430.00; 6.810;0.500;615.000
4440.00; 6.820;0.500;616.000
4450.00; 6.800;0.500;617.000
4460.00; 6.815;0.500;619.000
4470.00; 6.825;0.500;620.000
4480.00; 6.825;0.500;621.000
4490.00; 6.810;0.500;623.000
4500.00; 6.815;0.500;625.000
4510.00; 6.825;0.500;626.000
4520.00; 6.815;0.500;628.000
4530.00; 6.825;0.500;629.000
4540.00; 6.815;0.500;630.000
4550.00; 6.825;0.500;632.000
4560.00; 6.825;0.500;633.000
4570.00; 6.815;0.500;634.000
4580.00; 6.815;0.500;636.000
4590.00; 6.830;0.500;637.000
4600.00; 6.815;0.500;638.000
4610.00; 6.830;0.500;640.000
4620.00; 6.820;0.500;641.000
4630.00; 6.825;0.500;642.000
4640.00; 6.830;0.500;644.000
4650.00; 6.825;0.500;645.000
4660.00; 6.830;0.500;646.000
4670.00; 6.815;0.500;648.000
4680.00; 6.815;0.500;650.000
4690.00; 6.825;0.500;651.000
4700.00; 6.830;0.500;653.000
4710.00; 6.815;0.500;654.000
4720.00; 6.835;0.500;655.000
4730.00; 6.845;0.500;657.000
4740.00; 6.810;0.500;658.000
4750.00; 6.805;0.500;659.000
4760.00; 6.830;0.500;661.000
4770.00; 6.825;0.500;662.000
4780.00; 6.825;0.500;663.000
4790.00; 6.840;0.500;665.000
4800.00; 6.820;0.500;666.000
4810.00; 6.840;0.500;667.000
4820.00; 6.815;0.500;669.000
4830.00; 6.830;0.500;670.000
4840.00; 6.840;0.500;671.000
4850.00; 6.835;0.500;673.000
4860.00; 6.845;0.500;675.000
4870.00; 6.835;0.500;676.000
4880.00; 6.840;0.500;678.000
4890.00; 6.830;0.500;679.000
4900.00; 6.850;0.500;680.000
4910.00; 6.840;0.500;682.000
4920.00; 6.820;0.500;683.000
4930.00; 6.830;0.500;684.000
4940.00; 6.830;0.500;686.000
4950.00; 6.845;0.500;687.000
4960.00; 6.830;0.500;688.000
4970.00; 6.840;0.500;690.000
4980.00; 6.845;0.500;691.000
4990.00; 6.840;0.500;692.000
5000.00; 6.850;0.500;694.000
5010.00; 6.825;0.500;695.000
5020.00; 6.850;0.500;696.000
5030.00; 6.850;0.500;698.000
5040.00; 6.845;0.500;700.000
5050.00; 6.840;0.500;701.000
5060.00; 6.855;0.500;703.000
5070.00; 6.850;0.500;704.000
5080.00; 6.850;0.500;705.000
5090.00; 6.835;0.500;707.000
5100.00; 6.860;0.500;708.000
5110.00; 6.850;0.500;709.000
5120.00; 6.855;0.500;711.000
5130.00; 6.845;0.500;712.000
5140.00; 6.855;0.500;713.000
5150.00; 6.840;0.500;715.000
5160.00; 6.845;0.500;716.000
5170.00; 6.835;0.500;717.000
5180.00; 6.855;0.500;719.000
5190.00; 6.840;0.500;720.000
5200.00; 6.840;0.500;721.000
5210.00; 6.850;0.500;723.000
5220.00; 6.855;0.500;725.000
5230.00; 6.845;0.500;726.000
5240.00; 6.855;0.500;728.000
5250.00; 6.850;0.500;729.000
5260.00; 6.855;0.500;730.000
5270.00; 6.845;0.500;732.000
5280.00; 6.860;0.500;733.000
5290.00; 6.850;0.500;734.000
5300.00; 6.845;0.500;736.000
5310.00; 6.855;0.500;737.000
5320.00; 6.870;0.500;738.000
5330.00; 6.860;0.500;740.000
5340.00; 6.850;0.500;741.000
5350.00; 6.860;0.500;742.000
5360.00; 6.870;0.500;744.000
5370.00; 6.860;0.500;745.000
5380.00; 6.855;0.500;746.000
5390.00; 6.865;0.500;748.000
5400.00; 6.845;0.500;750.000
5410.00; 6.855;0.500;751.000
5420.00; 6.860;0.500;753.000
5430.00; 6.845;0.500;754.000
5440.00; 6.865;0.500;755.000
5450.00; 6.840;0.500;757.000
5460.00; 6.860;0.500;758.000
5470.00; 6.865;0.500;759.000
5480.00; 6.860;0.500;761.000
5490.00; 6.860;0.500;762.000
5500.00; 6.860;0.500;763.000
5510.00; 6.860;0.500;765.000
5520.00; 6.870;0.500;766.000
5530.00; 6.860;0.500;767.000
5540.00; 6.865;0.500;769.000
5550.00; 6.875;0.500;770.000
5560.00; 6.855;0.500;771.000
5570.00; 6.870;0.500;773.000
5580.00; 6.865;0.500;775.000
5590.00; 6.865;0.500;776.000
5600.00; 6.870;0.500;778.000
5610.00; 6.870;0.500;779.000
5620.00; 6.860;0.500;780.000
5630.00; 6.875;0.500;782.000
5640.00; 6.870;0.500;783.000
5650.00; 6.865;0.500;784.000
5660.00; 6.870;0.500;786.000
5670.00; 6.860;0.500;787.000
5680.00; 6.860;0.500;788.000
5690.00; 6.875;0.500;790.000
5700.00; 6.875;0.500;791.000
5710.00; 6.875;0.500;792.000
5720.00; 6.875;0.500;794.000
5730.00; 6.865;0.500;795.000
5740.00; 6.870;0.500;796.000
5750.00; 6.860;0.500;798.000
5760.00; 6.860;0.500;800.000
5770.00; 6.885;0.500;801.000
5780.00; 6.875;0.500;803.000
5790.00; 6.865;0.500;804.000
5800.00; 6.885;0.500;805.000
5810.00; 6.875;0.500;807.000
5820.00; 6.865;0.500;808.000
5830.00; 6.870;0.500;809.000
5840.00; 6.875;0.500;811.000
5850.00; 6.875;0.500;812.000
5860.00; 6.895;0.500;813.000
5870.00; 6.880;0.500;815.000
5880.00; 6.880;0.500;816.000
5890.00; 6.875;0.500;817.000
5900.00; 6.875;0.500;819.000
5910.00; 6.880;0.500;820.000
5920.00; 6.875;0.500;821.000
5930.00; 6.885;0.500;823.000
5940.00; 6.885;0.500;825.000
5950.00; 6.875;0.500;826.000
5960.00; 6.875;0.500;828.000
5970.00; 6.885;0.500;829.000
5980.00; 6.890;0.500;830.000
5990.00; 6.880;0.500;832.000
6000.00; 6.880;0.500;833.000
6010.00; 6.885;0.500;834.000
6020.00; 6.890;0.500;836.000
6030.00; 6.890;0.500;837.000
6040.00; 6.890;0.500;838.000
6050.00; 6.885;0.500;840.000
6060.00; 6.890;0.500;841.000
6070.00; 6.875;0.500;842.000
6080.00; 6.875;0.500;844.000
6090.00; 6.870;0.500;845.000
6100.00; 6.885;0.500;846.000
6110.00; 6.890;0.500;848.000
6120.00; 6.885;0.500;850.000
6130.00; 6.895;0.500;851.000
6140.00; 6.900;0.500;853.000
6150.00; 6.885;0.500;854.000
6160.00; 6.900;0.500;855.000
6170.00; 6.885;0.500;857.000
6180.00; 6.890;0.500;858.000
6190.00; 6.895;0.500;859.000
6200.00; 6.875;0.500;861.000
6210.00; 6.885;0.500;862.000
6220.00; 6.875;0.500;863.000
6230.00; 6.890;0.500;865.000
6240.00; 6.880;0.500;866.000
6250.00; 6.885;0.500;867.000
6260.00; 6.895;0.500;868.000
6270.00; 6.870;0.500;870.000
6280.00; 6.885;0.500;871.000
6290.00; 6.895;0.500;873.000
6300.00; 6.895;0.500;875.000
6310.00; 6.885;0.500;876.000
6320.00; 6.885;0.500;878.000
6330.00; 6.890;0.500;879.000
6340.00; 6.895;0.500;880.000
6350.00; 6.870;0.500;882.000
6360.00; 6.895;0.500;883.000
6370.00; 6.890;0.500;884.000
6380.00; 6.890;0.500;885.000
6390.00; 6.905;0.500;887.000
6400.00; 6.885;0.500;888.000
6410.00; 6.905;0.500;890.000
6420.00; 6.885;0.500;891.000
6430.00; 6.875;0.500;892.000
6440.00; 6.890;0.500;893.000
6450.00; 6.885;0.500;895.000
6460.00; 6.885;0.500;896.000
6470.00; 6.895;0.500;898.000
6480.00; 6.900;0.500;900.000
6490.00; 6.885;0.500;901.000
6500.00; 6.880;0.500;902.000
6510.00; 6.905;0.500;904.000
6520.00; 6.905;0.500;905.000
6530.00; 6.890;0.500;907.000
6540.00; 6.910;0.500;908.000
6550.00; 6.915;0.500;909.000
6560.00; 6.895;0.500;910.000
6570.00; 6.900;0.500;912.000
6580.00; 6.890;0.500;913.000
6590.00; 6.895;0.500;915.000
6600.00; 6.905;0.500;916.000
6610.00; 6.900;0.500;917.000
6620.00; 6.900;0.500;918.000
6630.00; 6.895;0.500;920.000
6640.00; 6.900;0.500;921.000
6650.00; 6.900;0.500;923.000
6660.00; 6.905;0.500;925.000
6670.00; 6.890;0.500;926.000
6680.00; 6.875;0.500;927.000
6690.00; 6.905;0.500;929.000
6700.00; 6.905;0.500;930.000
6710.00; 6.915;0.500;932.000
6720.00; 6.905;0.500;933.000
6730.00; 6.890;0.500;934.000
6740.00; 6.900;0.500;935.000
6750.00; 6.915;0.500;937.000
6760.00; 6.890;0.500;938.000
6770.00; 6.900;0.500;940.000
6780.00; 6.885;0.500;941.000
6790.00; 6.910;0.500;942.000
6800.00; 6.905;0.500;943.000
6810.00; 6.905;0.500;945.000
6820.00; 6.920;0.500;946.000
6830.00; 6.910;0.500;948.000
6840.00; 6.925;0.500;950.000
6850.00; 6.910;0.500;951.000
6860.00; 6.900;0.500;952.000
6870.00; 6.910;0.500;954.000
6880.00; 6.915;0.500;955.000
6890.00; 6.900;0.500;957.000
6900.00; 6.920;0.500;958.000
6910.00; 6.915;0.500;959.000
6920.00; 6.915;0.500;960.000
6930.00; 6.930;0.500;962.000
6940.00; 6.910;0.500;963.000
6950.00; 6.915;0.500;965.000
6960.00; 6.915;0.500;966.000
6970.00; 6.915;0.500;967.000
6980.00; 6.915;0.500;968.000
6990.00; 6.920;0.500;970.000
7000.00; 6.920;0.500;971.000
7010.00; 6.900;0.500;973.000
7020.00; 6.900;0.500;975.000
7030.00; 6.915;0.500;976.000
7040.00; 6.910;0.500;977.000
7050.00; 6.920;0.500;979.000
7060.00; 6.925;0.500;980.000
7070.00; 6.910;0.500;982.000
7080.00; 6.905;0.500;983.000
7090.00; 6.910;0.500;984.000
7100.00; 6.915;0.500;985.000
7110.00; 6.915;0.500;987.000
7120.00; 6.910;0.500;988.000
7130.00; 6.915;0.500;990.000
7140.00; 6.915;0.500;991.000
7150.00; 6.930;0.500;992.000
7160.00; 6.920;0.500;993.000
7170.00; 6.915;0.500;995.000
7180.00; 6.905;0.500;996.000
7190.00; 6.920;0.500;998.000
7200.00; 6.905;0.500;1000.000
7210.00; 6.915;0.500;1001.000
7220.00; 6.920;0.500;1002.000
7230.00; 6.920;0.500;1004.000
7240.00; 6.920;0.500;1005.000
7250.00; 6.920;0.500;1007.000
7260.00; 6.910;0.500;1008.000
7270.00; 6.925;0.500;1009.000
7280.00; 6.915;0.500;1010.000
7290.00; 6.915;0.500;1012.000
7300.00; 6.935;0.500;1013.000
7310.00; 6.930;0.500;1015.000
7320.00; 6.925;0.500;1016.000
7330.00; 6.920;0.500;1017.000
7340.00; 6.915;0.500;1018.000
7350.00; 6.920;0.500;1020.000
7360.00; 6.925;0.500;1021.000
7370.00; 6.915;0.500;1023.000
7380.00; 6.935;0.500;1025.000
7390.00; 6.920;0.500;1026.000
7400.00; 6.945;0.500;1027.000
7410.00; 6.920;0.500;1029.000
7420.00; 6.915;0.500;1030.000
7430.00; 6.905;0.500;1032.000
7440.00; 6.930;0.500;1033.000
7450.00; 6.920;0.500;1034.000
7460.00; 6.930;0.500;1035.000
7470.00; 6.930;0.500;1037.000
7480.00; 6.925;0.500;1038.000
7490.00; 6.930;0.500;1040.000
7500.00; 6.925;0.500;1041.000
7510.00; 6.920;0.500;1042.000
7520.00; 6.925;0.500;1043.000
7530.00; 6.930;0.500;1045.000
7540.00; 6.925;0.500;1046.000
7550.00; 6.925;0.500;1048.000
7560.00; 6.920;0.500;1050.000
7570.00; 6.920;0.500;1051.000
7580.00; 6.920;0.500;1052.000
7590.00; 6.930;0.500;1054.000
7600.00; 6.920;0.500;1055.000
7610.00; 6.925;0.500;1057.000
7620.00; 6.935;0.500;1058.000
7630.00; 6.920;0.500;1059.000
7640.00; 6.920;0.500;1060.000
7650.00; 6.935;0.500;1062.000
7660.00; 6.925;0.500;1063.000
7670.00; 6.940;0.500;1065.000
7680.00; 6.930;0.500;1066.000
7690.00; 6.925;0.500;1067.000
7700.00; 6.920;0.500;1068.000
7710.00; 6.925;0.500;1070.000
7720.00; 6.930;0.500;1071.000
